Date,Open,High,Low,Close,Volume,Adj Close
2015-04-21,3.39,3.46,3.12,3.21,65540500,3.21
2015-04-20,3.27,3.56,3.27,3.41,62887000,3.41
2015-04-17,3.37,3.52,3.25,3.38,74049600,3.38
2015-04-16,3.31,3.59,3.20,3.45,88591600,3.45
2015-04-15,3.02,3.43,2.98,3.32,120264300,3.32
2015-04-14,2.87,3.01,2.83,2.91,64636100,2.91
2015-04-13,2.87,2.91,2.70,2.77,53861100,2.77
2015-04-10,2.62,2.76,2.61,2.73,50596100,2.73
2015-04-09,2.62,2.77,2.56,2.58,62387900,2.58
2015-04-08,2.93,2.94,2.53,2.61,79358900,2.61
2015-04-07,2.73,3.16,2.70,3.09,115498800,3.09
2015-04-06,2.58,2.86,2.51,2.80,92205200,2.80
2015-04-02,2.38,2.52,2.25,2.45,77071500,2.45
2015-04-01,2.25,2.60,2.22,2.46,80696800,2.46
2015-03-31,2.25,2.36,2.17,2.20,55380900,2.20
2015-03-30,2.37,2.43,2.21,2.34,51353100,2.34
2015-03-27,2.66,2.66,2.30,2.31,75272900,2.31
2015-03-26,2.68,2.84,2.56,2.79,111578900,2.79
2015-03-25,2.31,2.51,2.21,2.43,77249900,2.43
2015-03-24,2.28,2.30,2.18,2.21,57944600,2.21
2015-03-23,2.09,2.24,2.07,2.20,62581300,2.20
2015-03-20,2.12,2.21,2.05,2.07,81924000,2.07
2015-03-19,1.89,2.05,1.88,1.94,68548600,1.94
2015-03-18,1.82,2.22,1.79,2.20,107727300,2.20
2015-03-17,1.95,2.02,1.89,1.92,73712900,1.92
2015-03-16,2.10,2.12,1.92,2.07,98489900,2.07
2015-03-13,2.40,2.40,2.21,2.24,114940200,2.24
2015-03-12,2.68,2.70,2.48,2.51,49040000,2.51
2015-03-11,2.72,2.72,2.54,2.68,102683100,2.68
2015-03-10,2.84,2.91,2.67,2.75,67504300,2.75
2015-03-09,2.89,3.10,2.86,2.97,41048200,2.97
2015-03-06,2.99,3.07,2.81,2.91,82856900,2.91
2015-03-05,3.21,3.35,3.09,3.15,57337500,3.15
2015-03-04,3.15,3.34,2.91,3.29,85260200,3.29
2015-03-03,2.97,3.12,2.89,3.03,45579100,3.03
2015-03-02,2.87,3.17,2.81,2.96,68194300,2.96
2015-02-27,2.87,2.97,2.75,2.86,60566000,2.86
2015-02-26,2.98,3.05,2.78,2.84,76748500,2.84
2015-02-25,2.93,3.24,2.77,3.16,69131100,3.16
2015-02-24,3.06,3.08,2.87,2.87,42574600,2.87
2015-02-23,2.94,3.15,2.86,2.92,94397600,2.92
2015-02-20,3.41,3.46,3.18,3.20,46003100,3.20
2015-02-19,3.07,3.58,3.04,3.43,87409400,3.43
2015-02-18,3.66,3.84,3.47,3.51,47065800,3.51
2015-02-17,3.58,4.04,3.37,3.82,47276300,3.82
2015-02-13,3.79,3.92,3.64,3.71,54314600,3.71
2015-02-12,3.42,3.55,3.22,3.48,53742600,3.48
2015-02-11,3.15,3.27,2.90,3.16,59853000,3.16
2015-02-10,3.78,3.79,3.25,3.38,43981100,3.38
2015-02-09,3.90,4.12,3.83,3.88,42631500,3.88
2015-02-06,3.57,3.93,3.52,3.70,50267200,3.70
2015-02-05,3.22,3.69,3.21,3.47,46320600,3.47
2015-02-04,3.61,3.63,2.93,3.12,53707200,3.12
2015-02-03,3.59,4.32,3.55,3.93,51673800,3.93
2015-02-02,3.29,3.45,3.05,3.40,40964000,3.40
2015-01-30,2.53,3.13,2.52,2.99,34114200,2.99
2015-01-29,2.56,2.57,2.34,2.49,18961500,2.49
2015-01-28,2.64,2.71,2.44,2.46,31823400,2.46
2015-01-27,2.63,2.85,2.62,2.76,16832000,2.76
2015-01-26,2.67,2.83,2.60,2.61,21249000,2.61
2015-01-23,2.76,2.90,2.66,2.68,23434600,2.68
2015-01-22,3.10,3.14,2.75,2.87,30899600,2.87
2015-01-21,3.04,3.19,2.98,3.06,16021200,3.06
2015-01-20,3.03,3.13,2.90,2.93,23462900,2.93
2015-01-16,3.10,3.46,3.09,3.37,16503300,3.37
2015-01-15,3.55,3.60,2.95,2.97,27484000,2.97
2015-01-14,2.99,3.52,2.90,3.41,25232500,3.41
2015-01-13,2.89,3.13,2.82,3.08,16363800,3.08
2015-01-12,3.16,3.16,2.95,2.95,14456400,2.95
2015-01-09,3.56,3.60,3.24,3.46,11879600,3.46
2015-01-08,3.50,3.67,3.35,3.64,10401800,3.64
2015-01-07,3.51,3.70,3.37,3.54,11994900,3.54
2015-01-06,3.68,3.76,3.32,3.37,13803300,3.37
2015-01-05,4.18,4.20,3.82,3.83,12870800,3.83
2015-01-02,4.60,4.89,4.44,4.58,4256600,4.58
